key_resp.keys,key_resp.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,ISI,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftImg,rightImg,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_15.keys,key_resp_15.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,leftimg,rightimg,key_resp_16.keys,key_resp_16.rt,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block2.ran,key_resp_4.keys,key_resp_4.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,colorLoop.thisRepN,colorLoop.thisTrialN,colorLoop.thisN,colorLoop.thisIndex,colorLoop.ran,left,right,middleStim,cue,shapeLoop.thisRepN,shapeLoop.thisTrialN,shapeLoop.thisN,shapeLoop.thisIndex,shapeLoop.ran,LoopSelectFreqNumber.thisRepN,LoopSelectFreqNumber.thisTrialN,LoopSelectFreqNumber.thisN,LoopSelectFreqNumber.thisIndex,LoopSelectFreqNumber.ran,numFreq
space,11.7022,m,6.7642,z,2.6176,space,3.0996,1.004008016,m,1,0.9401,0,0,0,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueBoat.png,m,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.21743487,m,1,2.0635,0,1,1,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedBoat.png,m,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.183366733,z,1,1.3418,0,2,2,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueRabbit.png,z,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.340681363,z,1,1.1428,0,3,3,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedRabbit.png,z,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,space,2.9129,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1.0865,1.366733467,,,,,,,,,,,resources/assets/RedBoat.png,z,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,z,3.5707,m,2.9461,z,1,0.9818,0,0,0,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.183366733,,,,,,,,,,,resources/assets/BlueBoat.png,m,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,m,1,0.9789,0,1,1,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.225450902,,,,,,,,,,,resources/assets/BlueRabbit.png,m,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,m,1,1.3527,0,2,2,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.05511022,,,,,,,,,,,resources/assets/RedRabbit.png,z,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,z,1,1.0644,0,3,3,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,8,001,2021-07-09_19h44.49.859,ft-dccs-o_s1_r1_e1,2021.1.4,Win32,60.04924038,120017,,,,,,,,,,,,,,,,,,,,,,space,1.5733,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
