key_resp.keys,key_resp.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,ISI,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftImg,rightImg,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_15.keys,key_resp_15.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,leftimg,rightimg,key_resp_16.keys,key_resp_16.rt,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block2.ran,key_resp_4.keys,key_resp_4.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,colorLoop.thisRepN,colorLoop.thisTrialN,colorLoop.thisN,colorLoop.thisIndex,colorLoop.ran,left,right,middleStim,cue,shapeLoop.thisRepN,shapeLoop.thisTrialN,shapeLoop.thisN,shapeLoop.thisIndex,shapeLoop.ran,LoopSelectFreqNumber.thisRepN,LoopSelectFreqNumber.thisTrialN,LoopSelectFreqNumber.thisN,LoopSelectFreqNumber.thisIndex,LoopSelectFreqNumber.ran,numFreq
space,5.7043,m,6.9425,z,0.7252,space,1.9859,1.296593186,z,1,0.7335,0,0,0,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueRabbit.png,z,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.127254509,m,1,0.4259,0,1,1,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedBoat.png,m,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.283567134,z,1,0.512,0,2,2,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedRabbit.png,z,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.448897796,z,0,0.5105,0,3,3,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueBoat.png,m,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],space,1.5536,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,4.7352,1.23246493,,,,,,,,,,,resources/assets/BlueRabbit.png,m,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,z,1.9548,m,7.3867,m,1,0.73,0,0,0,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.048096192,,,,,,,,,,,resources/assets/RedBoat.png,z,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,z,1,0.4625,0,1,1,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.033066132,,,,,,,,,,,resources/assets/RedRabbit.png,z,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,z,1,0.5154,0,2,2,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.19739479,,,,,,,,,,,resources/assets/BlueBoat.png,m,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,m,1,0.3475,0,3,3,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5,001,2021-07-03_16h56.58.592,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,59.99160118,[record_name],,,,,,,,,,,,,,,,,,,,,,space,1.5041,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
