key_resp.keys,key_resp.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,ISI,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftImg,rightImg,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_15.keys,key_resp_15.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,leftimg,rightimg,key_resp_16.keys,key_resp_16.rt,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block2.ran,key_resp_4.keys,key_resp_4.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,colorLoop.thisRepN,colorLoop.thisTrialN,colorLoop.thisN,colorLoop.thisIndex,colorLoop.ran,left,right,middleStim,cue,shapeLoop.thisRepN,shapeLoop.thisTrialN,shapeLoop.thisN,shapeLoop.thisIndex,shapeLoop.ran,LoopSelectFreqNumber.thisRepN,LoopSelectFreqNumber.thisTrialN,LoopSelectFreqNumber.thisN,LoopSelectFreqNumber.thisIndex,LoopSelectFreqNumber.ran,numFreq
space,9.341,m,3.56,z,1.066,space,5.335,1.141282565,m,1,1.354,0,0,0,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedBoat.png,m,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.280561122,z,1,0.842,0,1,1,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedRabbit.png,z,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.43987976,z,1,0.764,0,2,2,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueRabbit.png,z,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.136272545,m,1,0.836,0,3,3,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueBoat.png,m,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,space,2.797,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,6.646,1.179358717,,,,,,,,,,,resources/assets/RedBoat.png,z,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,z,5.61,m,2.238,z,1,0.718,0,0,0,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.115230461,,,,,,,,,,,resources/assets/BlueBoat.png,m,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,m,1,0.653,0,1,1,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.457915832,,,,,,,,,,,resources/assets/RedRabbit.png,z,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,z,1,0.608,0,2,2,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.073146293,,,,,,,,,,,resources/assets/BlueRabbit.png,m,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,m,1,1.609,0,3,3,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,,,,,,,,,,,space,14.73,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,11.143,1.219438878,,,,,,,,,,,,z,10,001,2021-07-16_17h40.13.677,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,62.5,120026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.05,z,1,0.6,0,0,0,2,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueTruck.png,COLOR,,,,,,,,,,,
