key_resp.keys,key_resp.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,ISI,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftImg,rightImg,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_15.keys,key_resp_15.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,leftimg,rightimg,key_resp_16.keys,key_resp_16.rt,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block2.ran,key_resp_4.keys,key_resp_4.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,colorLoop.thisRepN,colorLoop.thisTrialN,colorLoop.thisN,colorLoop.thisIndex,colorLoop.ran,left,right,middleStim,cue,shapeLoop.thisRepN,shapeLoop.thisTrialN,shapeLoop.thisN,shapeLoop.thisIndex,shapeLoop.ran,LoopSelectFreqNumber.thisRepN,LoopSelectFreqNumber.thisTrialN,LoopSelectFreqNumber.thisN,LoopSelectFreqNumber.thisIndex,LoopSelectFreqNumber.ran,numFreq
space,1.834,m,3.667,z,0.77,space,4.317,1.213426854,m,1,0.627,0,0,0,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueBoat.png,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.228456914,z,1,0.297,0,1,1,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueRabbit.png,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.136272545,z,0,0.455,0,2,2,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedBoat.png,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.114228457,z,1,0.86,0,3,3,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedRabbit.png,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,space,19.83,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,3.67,1.251503006,,,,,,,,,,,resources/assets/RedRabbit.png,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,z,7.202,m,1.214,z,1,0.563,0,0,0,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.006012024,,,,,,,,,,,resources/assets/BlueRabbit.png,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,m,1,0.603,0,1,1,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.196392786,,,,,,,,,,,resources/assets/BlueBoat.png,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,m,1,0.452,0,2,2,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.244488978,,,,,,,,,,,resources/assets/RedBoat.png,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,z,1,0.49,0,3,3,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,space,1.318,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.649,1.03006012,,,,,,,,,,,,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.368,z,1,0.418,0,0,0,2,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueTruck.png,COLOR,,,,,,,,,,,
,,,,,,,,1.009018036,,,,,,,,,,,,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,0.297,0,1,1,5,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/YellowBall.png,COLOR,,,,,,,,,,,
,,,,,,,,1.265531062,,,,,,,,,,,,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,1,0.063,0,2,2,4,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueBall.png,COLOR,,,,,,,,,,,
,,,,,,,,1.330661323,,,,,,,,,,,,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,1,0.716,,,,,,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueBall.png,SHAPE,0,0,0,4,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,2
,,,,,,,,1.447895792,,,,,,,,,,,,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,0.436,0,0,0,1,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/YellowBall.png,COLOR,,,,,,,,,,,
,,,,,,,,1.090180361,,,,,,,,,,,,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,0.449,0,1,1,5,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/YellowBall.png,COLOR,,,,,,,,,,,
,,,,,,,,1.180360721,,,,,,,,,,,,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,1,2.711,0,2,2,6,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueTruck.png,COLOR,,,,,,,,,,,
,,,,,,,,1.168336673,,,,,,,,,,,,m,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,0.679,0,3,3,3,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/YellowTruck.png,COLOR,,,,,,,,,,,
,,,,,,,,1.059118236,,,,,,,,,,,,z,12,001,2021-07-22_12h56.39.604,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,120031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,1,1.163,0,4,4,2,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueTruck.png,COLOR,,,,,,,,,,,
