key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,8.399,z,4.563,m,2.303,m,1.177,z,0.655,space,4.016,space,3.248,1.404809619,z,1,4.256,0,0,0,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.420841683,m,1,1.71,0,1,1,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.008016032,m,1,2.033,0,2,2,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.293587174,z,1,0.682,0,3,3,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,space,2.777,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.169338677,m,1,0.794,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,space,15.689,0,0,0,8,1
,,,,,,,,,,,,,,1.002004008,z,1,0.585,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,0,1,1,16,1
,,,,,,,,,,,,,,1.389779559,z,1,0.613,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,0,2,2,17,1
,,,,,,,,,,,,,,1.321643287,z,1,0.622,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,0,3,3,14,1
,,,,,,,,,,,,,,1.20240481,m,1,0.581,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,41,001,2021-10-16_19h45.57.682,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120084,,,,,,,,,,0,4,4,7,1
