key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,6.384,z,4.968,m,0.895,m,2.63,z,0.703,space,1.813,space,4.087,1.485971944,m,1,0.786,0,0,0,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.357715431,m,1,0.64,0,1,1,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.453907816,z,1,0.608,0,2,2,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.152304609,z,1,0.728,0,3,3,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],space,1.761,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.316633267,m,1,0.429,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,space,3.517,0,0,0,6,1
,,,,,,,,,,,,,,1.115230461,z,1,0.625,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,1,1,16,1
,,,,,,,,,,,,,,1.098196393,z,1,0.555,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,2,2,18,1
,,,,,,,,,,,,,,1.04008016,m,1,0.613,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,3,3,12,1
,,,,,,,,,,,,,,1.284569138,m,1,0.469,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,4,4,4,1
,,,,,,,,,,,,,,1.012024048,z,0,0.447,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,5,5,10,1
,,,,,,,,,,,,,,1.445891784,m,1,0.739,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,6,6,9,1
,,,,,,,,,,,,,,1.155310621,m,1,0.651,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,7,7,7,1
,,,,,,,,,,,,,,1.238476954,m,1,0.623,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,8,8,13,1
,,,,,,,,,,,,,,1.051102204,z,1,0.625,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,9,9,0,1
,,,,,,,,,,,,,,1.089178357,z,1,0.753,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,10,10,14,1
,,,,,,,,,,,,,,1.087174349,z,0,0.765,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_left.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,11,11,3,1
,,,,,,,,,,,,,,1.031062124,m,1,0.845,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,12,12,11,1
,,,,,,,,,,,,,,1.213426854,z,1,0.701,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,13,13,2,1
,,,,,,,,,,,,,,1.45991984,m,1,0.655,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,14,14,8,1
,,,,,,,,,,,,,,1.365731463,z,1,0.596,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,15,15,19,1
,,,,,,,,,,,,,,1.356713427,m,1,0.51,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,16,16,5,1
,,,,,,,,,,,,,,1.328657315,z,1,0.597,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,17,17,15,1
,,,,,,,,,,,,,,1.184368737,z,1,0.509,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,18,18,1,1
,,,,,,,,,,,,,,1.310621242,z,1,0.702,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,21,001,2021-08-23_20h09.32.002,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,58.82352941,[record_name],,,,,,,,,,0,19,19,17,1
