key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,5.493,z,6.598,m,3.058,m,6.593,z,3.112,space,6.13,space,8.98,1.029058116,z,1,0.698,0,0,0,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.164328657,m,1,0.436,0,1,1,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.256513026,z,1,0.585,0,2,2,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.483967936,m,1,0.528,0,3,3,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,space,3.23,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.220440882,m,1,0.78,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,space,3.298,0,0,0,10,1
,,,,,,,,,,,,,,1.213426854,m,1,0.569,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,1,1,6,1
,,,,,,,,,,,,,,1.328657315,z,1,0.463,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,2,2,0,1
,,,,,,,,,,,,,,1.299599198,z,1,0.783,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,3,3,17,1
,,,,,,,,,,,,,,1.369739479,z,1,0.608,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,4,4,15,1
,,,,,,,,,,,,,,1.108216433,z,1,0.509,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,5,5,19,1
,,,,,,,,,,,,,,1.326653307,z,1,0.531,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,6,6,16,1
,,,,,,,,,,,,,,1.437875752,z,1,0.557,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,7,7,18,1
,,,,,,,,,,,,,,1.301603206,z,0,0.415,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,8,8,12,1
,,,,,,,,,,,,,,1.4749499,m,1,0.615,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,8,001,2021-07-07_19h43.32.553,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,66.66666667,120011,,,,,,,,,,0,9,9,9,1
