key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,4.1635,z,8.0551,m,4.6283,m,4.6721,z,3.3452,space,4.9569,space,10.2034,1.486973948,z,1,3.0348,0,0,0,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.369739479,m,1,0.4017,0,1,1,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.355711423,z,1,1.4509,0,2,2,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.337675351,m,1,0.5577,0,3,3,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,space,2.0186,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.49498998,m,1,1.2556,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,space,14.2988,0,0,0,9,1
,,,,,,,,,,,,,,1.448897796,z,0,0.5452,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_left.png,m,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,0,1,1,3,1
,,,,,,,,,,,,,,1.280561122,m,1,0.6498,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,0,2,2,12,1
,,,,,,,,,,,,,,1.362725451,z,1,0.5474,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,0,3,3,18,1
,,,,,,,,,,,,,,1.358717435,z,1,0.6728,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,0,4,4,16,1
,,,,,,,,,,,,,,1.018036072,z,1,0.6675,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,0,5,5,19,1
,,,,,,,,,,,,,,1.408817635,z,1,0.7544,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,0,6,6,0,1
,,,,,,,,,,,,,,1.003006012,z,1,0.867,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,12,001,2021-07-17_15h27.04.782,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,59.94485074,120022,,,,,,,,,,0,7,7,17,1
