key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,13.3156,z,6.8078,m,1.3314,m,15.5653,z,5.1274,space,15.8127,space,10.3673,1.167334669,z,1,2.6282,0,0,0,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.216432866,z,1,1.4315,0,1,1,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.273547094,m,1,0.605,0,2,2,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.354709419,m,1,0.6322,0,3,3,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,space,2.3126,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.080160321,z,0,0.6017,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_left.png,m,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,space,4.0724,0,0,0,3,1
,,,,,,,,,,,,,,1.144288577,m,1,0.4646,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,0,1,1,5,1
,,,,,,,,,,,,,,1.278557114,z,1,0.5762,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,0,2,2,19,1
,,,,,,,,,,,,,,1.264529058,m,1,0.4456,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,0,3,3,4,1
,,,,,,,,,,,,,,1.492985972,z,1,0.5734,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,17,001,2021-07-28_16h32.34.672,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,60.0240096,120038,,,,,,,,,,0,4,4,0,1
