key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,12.077,z,2.933,m,2.588,m,2.453,z,2.447,space,5.532,space,10.927,1.236472946,m,1,0.55,0,0,0,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.373747495,m,1,1.101,0,1,1,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.295591182,m,0,0.128,0,2,2,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.340681363,z,1,0.803,0,3,3,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,space,2.741,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.447895792,z,1,0.466,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,space,6.958,0,0,0,14,1
,,,,,,,,,,,,,,1.240480962,z,1,0.116,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,1,1,2,1
,,,,,,,,,,,,,,1.453907816,m,1,0.076,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,2,2,9,1
,,,,,,,,,,,,,,1.224448898,m,0,0.087,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,3,3,19,1
,,,,,,,,,,,,,,1.372745491,m,1,0.244,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,4,4,8,1
,,,,,,,,,,,,,,1.084168337,m,0,0.989,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,5,5,17,1
,,,,,,,,,,,,,,1.029058116,z,0,0.046,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,6,6,5,1
,,,,,,,,,,,,,,1.086172345,m,1,0.088,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_left.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,7,7,3,1
,,,,,,,,,,,,,,1.28757515,z,0,0.892,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,8,8,13,1
,,,,,,,,,,,,,,1.48997996,m,0,0.879,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,9,9,16,1
,,,,,,,,,,,,,,1.081162325,m,0,0.676,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,10,10,0,1
,,,,,,,,,,,,,,1.133266533,z,0,1.176,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,11,11,11,1
,,,,,,,,,,,,,,1.396793587,m,1,0.783,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,12,12,10,1
,,,,,,,,,,,,,,1.358717435,z,0,1.065,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,13,13,12,1
,,,,,,,,,,,,,,1.47995992,m,1,0.683,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,14,14,6,1
,,,,,,,,,,,,,,1.276553106,z,1,1.047,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,15,15,15,1
,,,,,,,,,,,,,,1.120240481,m,0,0.856,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,16,16,18,1
,,,,,,,,,,,,,,1.093186373,z,1,0.482,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,17,17,1,1
,,,,,,,,,,,,,,1.365731463,m,1,0.742,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,18,18,4,1
,,,,,,,,,,,,,,1.193386774,z,0,0.901,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,18,001,2021-07-29_20h14.00.272,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120044,,,,,,,,,,0,19,19,7,1
