key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,6.8615,z,3.9432,m,1.437,m,4.7641,z,3.1489,space,8.6925,space,12.5886,1.391783567,m,1,0.8071,0,0,0,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.394789579,z,1,0.5273,0,1,1,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.122244489,z,1,0.6836,0,2,2,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.458917836,m,1,0.6819,0,3,3,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,space,4.1266,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.159318637,m,1,0.5928,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,space,19.4797,0,0,0,10,1
,,,,,,,,,,,,,,1.221442886,z,1,0.5984,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,1,1,19,1
,,,,,,,,,,,,,,1.441883768,z,1,0.633,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,2,2,1,1
,,,,,,,,,,,,,,1.119238477,m,1,0.534,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,3,3,8,1
,,,,,,,,,,,,,,1.396793587,m,1,0.7626,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,4,4,12,1
,,,,,,,,,,,,,,1.073146293,z,1,0.6037,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,5,5,16,1
,,,,,,,,,,,,,,1.397795591,z,1,0.6444,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,6,6,17,1
,,,,,,,,,,,,,,1.026052104,z,0,0.6888,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_left.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,7,7,3,1
,,,,,,,,,,,,,,1.374749499,z,1,0.5706,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,8,8,0,1
,,,,,,,,,,,,,,1.098196393,m,1,0.5027,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,9,9,5,1
,,,,,,,,,,,,,,1.082164329,m,1,0.6078,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,10,10,4,1
,,,,,,,,,,,,,,1.384769539,m,1,0.9616,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,31,001,2021-09-18_12h58.14.868,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,60.0024001,120062,,,,,,,,,,0,11,11,13,1
