key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,0.57845,z,3.896305,m,1.12142,m,0.90694,z,0.541415,space,0.953385,space,2.104365,1.238476954,z,1,1.239795,0,0,0,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.48496994,z,1,1.519265,0,1,1,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.177354709,m,1,0.934545,0,2,2,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.308617234,m,1,1.014355,0,3,3,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,space,0.98485,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,1.362725451,m,1,0.7737,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,space,0.81538,0,0,0,13,1
,,,,,,,,,,,,,,1.169338677,z,1,0.699115,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,0,1,1,19,1
,,,,,,,,,,,,,,1.219438878,z,1,0.898095,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,0,2,2,2,1
,,,,,,,,,,,,,,1.369739479,z,1,0.823515,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,0,3,3,15,1
,,,,,,,,,,,,,,1.200400802,z,1,0.57181,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,10,001,2021-07-11_21h27.02.374,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.99880002,120019,,,,,,,,,,0,4,4,16,1
