key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_18.keys,key_resp_18.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
space,23.2095,z,15.5639,m,5.1219,m,7.125,z,2.8218,space,4.5034,space,27.0513,1.23246493,z,1,1.0381,0,0,0,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.039078156,z,0,4.577,0,1,1,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.126252505,m,0,1.3582,0,2,2,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.361723447,m,1,1.173,0,3,3,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,space,4.3383,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,space,1.2387,1.229458918,z,1,1.2849,0,0,0,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.448897796,m,1,1.3312,0,1,1,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.491983968,m,1,1.4169,0,2,2,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.089178357,z,1,1.016,0,3,3,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,space,5.6206,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,1.142284569,m,1,2.3494,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,space,31.7103,0,0,0,13,1
,,,,,,,,,,,,,,1.214428858,z,1,1.3693,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,1,1,14,1
,,,,,,,,,,,,,,1.173346693,m,1,3.6589,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,2,2,11,1
,,,,,,,,,,,,,,1.079158317,z,0,1.2973,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,3,3,6,1
,,,,,,,,,,,,,,1.265531062,m,1,1.8074,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,4,4,5,1
,,,,,,,,,,,,,,1.063126253,m,0,4.2748,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,5,5,16,1
,,,,,,,,,,,,,,1.112224449,m,0,2.389,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,6,6,19,1
,,,,,,,,,,,,,,1.009018036,z,1,0.8,,,,,,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,7,7,0,1
,,,,,,,,,,,,,,1.191382766,z,1,5.0323,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,8,8,15,1
,,,,,,,,,,,,,,1.433867735,z,0,2.5901,,,,,,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,16,001,2021-07-26_21h06.24.284,ft-flanker-o_s1_r1_e1,2021.1.4,Win32,61.96170766,120036,,,,,,,,,,0,9,9,7,1
