key_resp_10.keys,key_resp_10.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_11.keys,key_resp_11.rt,key_resp_16.keys,key_resp_16.rt,ISI,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_arrow,right_arrow,empty,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id
space,0.1012,z,48.5898,m,2.0408,m,1.7523,z,1.2619,space,6.2209,space,2.5262,1.102204409,z,1,7.9063,0,0,0,0,1,img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,20,001,2021-08-23_10h18.23.922,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.97361161,[record_name]
,,,,,,,,,,,,,,1.022044088,,0,,0,1,1,3,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,20,001,2021-08-23_10h18.23.922,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.97361161,[record_name]
,,,,,,,,,,,,,,1.069138277,m,1,1.8314,0,2,2,2,1,img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,20,001,2021-08-23_10h18.23.922,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.97361161,[record_name]
,,,,,,,,,,,,,,1.106212425,m,1,1.0631,0,3,3,1,1,img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,20,001,2021-08-23_10h18.23.922,ft-flanker-o_s1_r1_e1,2021.1.4,MacIntel,59.97361161,[record_name]
